project_name,material,quantity,unit_cost,phase,vendor,order_date,delivery_date,status,total_cost
Maple Ridge Office Tower,Ready-Mix Concrete (CY),520,188,Structural,Pacific Concrete,2025-12-10,2026-01-08,Delivered,97760
Maple Ridge Office Tower,Rebar #4 (tons),35,1150,Structural,Northwest Steel,2025-12-12,2025-12-28,Delivered,40250
Maple Ridge Office Tower,Rebar #8 (tons),20,1280,Structural,Northwest Steel,2025-12-12,2025-12-28,Delivered,25600
Maple Ridge Office Tower,Ductwork - Galvanized (LF),2600,28,Mechanical,AirFlow Supply,2026-01-15,2026-02-20,Delivered,72800
Maple Ridge Office Tower,HVAC Units - Rooftop,4,18500,Mechanical,Carrier Direct,2025-12-20,2026-02-28,Delivered,74000
Maple Ridge Office Tower,Copper Wire 10 AWG (FT),16000,1.85,Electrical,Graybar Electric,2026-02-01,2026-03-01,Delivered,29600
Maple Ridge Office Tower,Electrical Panels - 200A,6,4200,Electrical,Graybar Electric,2026-02-10,2026-04-01,In Transit,25200
Maple Ridge Office Tower,Drywall 5/8 Type X (sheets),1900,18,Finishes,BuildPro Supply,2026-03-01,2026-04-15,Ordered,34200
Northgate Industrial Park,Structural Steel W-Flange (tons),295,2880,Structural,Atlas Steel,2025-09-20,2025-12-05,Delivered,849600
Northgate Industrial Park,Structural Steel HSS (tons),52,3150,Structural,Atlas Steel,2025-09-20,2025-12-18,Delivered,163800
Northgate Industrial Park,High-Strength Bolts (cases),130,345,Structural,Fastenal,2025-10-15,2025-11-10,Delivered,44850
Northgate Industrial Park,Steel Pipe 6-inch (LF),3400,44,Mechanical,PipeCo Industrial,2026-01-15,2026-03-10,Delivered,149600
Northgate Industrial Park,Gate Valves 6-inch,28,1880,Mechanical,PipeCo Industrial,2026-01-15,2026-03-10,Delivered,52640
Northgate Industrial Park,Fire Suppression Heads - ESFR,200,290,Mechanical,FireGuard Supply,2026-02-01,2026-04-15,Backordered,58000
Northgate Industrial Park,Switchgear 480V,2,43500,Electrical,Eaton Distributor,2025-11-01,2026-02-15,Delivered,87000
Northgate Industrial Park,Panel Boards 208V,8,7100,Electrical,Eaton Distributor,2025-11-01,2026-02-15,Delivered,56800
Northgate Industrial Park,CMU Block 8-inch (pallets),100,585,Finishes,Mason Supply Co,2026-03-01,2026-05-20,Ordered,58500
City Centre Parking Structure,PT Cables (LF),29000,4.25,Structural,Post-Tension Inc,2025-11-15,2026-01-10,Delivered,123250
City Centre Parking Structure,Ready-Mix Concrete (CY),640,180,Structural,Metro Concrete,2025-12-15,2026-01-12,Delivered,115200
City Centre Parking Structure,PT Anchors,580,84,Structural,Post-Tension Inc,2025-11-15,2026-01-10,Delivered,48720
City Centre Parking Structure,Ventilation Fans - Garage,8,3250,Mechanical,AirFlow Supply,2026-02-20,2026-04-15,Ordered,26000
City Centre Parking Structure,LED Fixtures - Garage,250,148,Electrical,Graybar Electric,2026-02-20,2026-04-10,Ordered,37000
City Centre Parking Structure,Waterproofing Membrane (SF),18500,3.85,Finishes,Tremco Supply,2026-03-05,2026-04-28,Ordered,71225
City Centre Parking Structure,Traffic Paint - Striping (gal),90,64,Finishes,Sherwin-Williams,2026-04-01,2026-05-15,Ordered,5760
